Datetime,MCP
"2023-01-03 08:15:00",10536.59
"2023-01-03 08:30:00",12000
"2023-01-03 08:45:00",12000
"2023-01-03 09:00:00",10500.52
"2023-01-03 09:15:00",9999.55
"2023-01-03 09:30:00",10694.44
"2023-01-03 09:45:00",9832.84
"2023-01-03 10:00:00",8863.26
"2023-01-03 10:15:00",8006.21
"2023-01-03 10:30:00",8863.71
"2023-01-03 10:45:00",8500.36
"2023-01-03 11:00:00",9630.94
"2023-01-03 11:15:00",9903.4
"2023-01-03 11:30:00",10694.75
"2023-01-03 11:45:00",10000.26
"2023-01-03 12:00:00",6000.77
"2023-01-03 12:15:00",6000.81
"2023-01-03 12:30:00",6000.52
"2023-01-03 12:45:00",6000.54
"2023-01-03 13:00:00",5800.13
"2023-01-03 13:15:00",5800.86
"2023-01-03 13:30:00",5959.88
"2023-01-03 13:45:00",5959.08
"2023-01-03 14:00:00",5500.9
"2023-01-03 14:15:00",6005.2
"2023-01-03 14:30:00",6099.09
"2023-01-03 14:45:00",6059.61
"2023-01-03 15:00:00",5800.55
"2023-01-03 15:15:00",5899.98
"2023-01-03 15:30:00",6500.7
"2023-01-03 15:45:00",6148.52
"2023-01-03 16:00:00",6148.71
"2023-01-03 16:15:00",6500.64
"2023-01-03 16:30:00",7500.68
"2023-01-03 16:45:00",8151.5
"2023-01-03 17:00:00",8093.1
"2023-01-03 17:15:00",7499.02
"2023-01-03 17:30:00",6520.86
"2023-01-03 17:45:00",6999.62
"2023-01-03 18:00:00",8151.63
"2023-01-03 18:15:00",8158.99
"2023-01-03 18:30:00",8863.89
"2023-01-03 18:45:00",8500.55
"2023-01-03 19:00:00",8500.64
"2023-01-03 19:15:00",8863.52
"2023-01-03 19:30:00",6148.19
"2023-01-03 19:45:00",5540.29
"2023-01-03 20:00:00",6000.18
"2023-01-03 20:15:00",5500.35
"2023-01-03 20:30:00",5500.03
"2023-01-03 20:45:00",5000.15
"2023-01-03 21:00:00",3995.43
"2023-01-03 21:15:00",3994.84
"2023-01-03 21:30:00",3680.62
"2023-01-03 21:45:00",3237.69
"2023-01-03 22:00:00",3040.11
"2023-01-03 22:15:00",3053.65
"2023-01-03 22:30:00",3053.62
"2023-01-03 22:45:00",3001.07
"2023-01-03 23:00:00",3430.34
"2023-01-03 23:15:00",3001.3
"2023-01-03 23:30:00",2891.87
"2023-01-03 23:45:00",2891.25
"2023-01-04 00:00:00",2768.67
"2023-01-04 00:15:00",2768.77
"2023-01-04 00:30:00",2810.31
"2023-01-04 00:45:00",2810.24
"2023-01-04 01:00:00",2735.08
"2023-01-04 01:15:00",2650.45
